Type,Price,Sqm Price,Size,Living Area,Ground Area,Rooms,Ownership Expense,Year Built,Story,Energy Label,Longitude,Latitude,ZipCode,Drop_Rate,Age of Building,Price_W_Drop_Rate,Town
Villa,2.995.000,52.543,57,,273,2,2.643,1959,0, C,,,2700,9,63,2.725.450,Brønshøj
Villa,5.495.000,39.532,139,,708,6,5.942,1947,0, G,12.473146,55.699992,2700,0,75,5.495.000,Brønshøj
Villalejlighed,3.975.000,49.074,81,,,3,2.443,1936, 1, C,12.4817865,55.7060434,2700,7,86,3.696.750,Brønshøj
Villa,3.995.000,39.950,100,,890,4,3.645,1966,0, C,12.459846,55.704997,2700,11,56,3.555.550,Brønshøj
Villa,4.995.000,42.692,117,,658,5,5.669,1926,0, C,12.484171,55.705342,2700,17,96,4.145.850,Brønshøj
Ejerlejlighed,1.595.000,39.875,40,35,,2,1.955,1934,0, C,,,2700,11,88,1.419.550,Brønshøj
Ejerlejlighed,3.995.000,27.743,144,139,,5,5.292,1930, 1, B,12.472443,55.712447,2700,11,92,3.555.550,Brønshøj
Villa,6.695.000,71.223,94,,468,5,6.080,1932,0, D,12.494121,55.702609,2700,14,90,5.757.700,Brønshøj
Villa,7.995.000,61.030,131,,394,7,5.673,1919,0, D,12.509437,55.711096,2700,10,103,7.195.500,Brønshøj
Ejerlejlighed,3.950.000,55.633,71,109,,3,3.124,1927, 1, D,12.4954996,55.7029891,2700,13,95,3.436.500,Brønshøj
Villa,11.775.000,60.076,196,,499,8,6.140,1913,0, C,12.503067,55.701287,2700,0,109,11.775.000,Brønshøj
Ejerlejlighed,1.995.000,35.625,56,51,,2,2.205,1932, 1, C,12.490083,55.706564,2700,5,90,1.895.250,Brønshøj
Villa,6.495.000,41.369,157,,402,6,4.600,1900,0, E,12.505985,55.704766,2700,11,122,5.780.550,Brønshøj
Villa,7.995.000,42.754,187,,626,6,6.028,1948,0, E,12.463124,55.708689,2700,3,74,7.755.150,Brønshøj
Villalejlighed,6.195.000,44.568,139,,,5,3.458,2021,0, A15,12.487174,55.700468,2700,11,1,5.513.550,Brønshøj
Ejerlejlighed,1.895.000,34.454,55,50,,2,2.751,1933,0, D,12.488515,55.703585,2700,5,89,1.800.250,Brønshøj
