Type,Price,Sqm Price,Size,Living Area,Ground Area,Rooms,Ownership Expense,Year Built,Story,Energy Label,Longitude,Latitude,ZipCode,Drop_Rate,Age of Building,Price_W_Drop_Rate,Town
Ejerlejlighed,2.895.000,43.863,66,58,,2,3.551,1974, 1, C,,,2100,0,48,2.895.000,København Ø
Andelsbolig,2.895.000,0,96,,,4,,1988, 3, D,,,2100,0,34,2.895.000,København Ø
Ejerlejlighed,3.249.000,62.480,52,44,,2,3.198,1895, 4, C,12.579694,55.705585,2100,0,127,3.249.000,København Ø
Ejerlejlighed,4.250.000,61.594,69,62,,3,2.760,1904,0, C,12.590571,55.704053,2100,0,118,4.250.000,København Ø
Ejerlejlighed,5.695.000,58.112,98,89,,4,3.836,1912, 3, D,12.568214,55.7076,2100,0,110,5.695.000,København Ø
Ejerlejlighed,8.750.000,63.868,137,127,,5,3.981,1880, 1, D,12.580074,55.700532,2100,0,142,8.750.000,København Ø
Ejerlejlighed,3.298.000,57.859,57,48,,2,2.569,1903, 2, E,,,2100,0,119,3.298.000,København Ø
Ejerlejlighed,5.475.000,63.662,86,74,,2,3.883,1891, 3, C,12.582155,55.697841,2100,0,131,5.475.000,København Ø
Ejerlejlighed,11.500.000,74.193,155,142,,5,3.292,1903, 3, E,,,2100,0,119,11.500.000,København Ø
Ejerlejlighed,4.195.000,54.480,77,70,,3,3.299,1926, 1, C,12.584267,55.708989,2100,0,96,4.195.000,København Ø
Ejerlejlighed,10.695.000,58.763,182,171,,5,4.593,1920,0, D,12.571763,55.707441,2100,6,102,10.053.300,København Ø
Rækkehus,17.495.000,129.592,135,,,6,6.187,1882,0, F,12.574217,55.691854,2100,0,140,17.495.000,København Ø
Ejerlejlighed,2.795.000,51.759,54,52,,2,2.284,1902,0, C,12.57137,55.71312,2100,0,120,2.795.000,København Ø
Ejerlejlighed,3.695.000,47.987,77,68,,2,3.903,1978, 4, D,,,2100,0,44,3.695.000,København Ø
Ejerlejlighed,7.495.000,60.934,123,113,,4,5.005,1931, 4, C,12.59148,55.698578,2100,0,91,7.495.000,København Ø
Ejerlejlighed,10.995.000,72.814,151,138,,4,5.339,1904, 1, C,12.577723,55.701246,2100,0,118,10.995.000,København Ø
Ejerlejlighed,21.000.000,73.943,284,265,,7,8.698,1889, 2, C,12.577703,55.706157,2100,0,133,21.000.000,København Ø
Ejerlejlighed,7.795.000,70.225,111,100,,4,4.205,1907, 3, D,12.578857,55.704016,2100,0,115,7.795.000,København Ø
Ejerlejlighed,5.995.000,68.908,87,146,,3,6.620,1936, 1, D,,,2100,14,86,5.155.700,København Ø
Ejerlejlighed,2.745.000,48.157,57,52,,2,2.555,1934, 3, C,12.565308,55.709446,2100,11,88,2.443.050,København Ø
Ejerlejlighed,3.395.000,59.561,57,54,,2,2.699,1931, 2, D,,,2100,0,91,3.395.000,København Ø
Ejerlejlighed,4.750.000,52.777,90,81,,3,3.639,1938, 2, C,,,2100,0,84,4.750.000,København Ø
Ejerlejlighed,3.295.000,46.408,71,66,,2,3.455,1974, 2, C,,,2100,6,48,3.097.300,København Ø
Ejerlejlighed,3.495.000,62.410,56,50,,2,2.562,1900,0, D,,,2100,5,122,3.320.250,København Ø
Ejerlejlighed,4.798.000,59.975,80,72,,3,3.037,1913, 1, C,12.584606,55.707327,2100,0,109,4.798.000,København Ø
Ejerlejlighed,5.550.000,48.684,114,104,,4,5.046,1938, 4, C,,,2100,0,84,5.550.000,København Ø
Rækkehus,10.800.000,79.411,136,,,6,4.533,1893,0, E,,,2100,0,129,10.800.000,København Ø
Ejerlejlighed,2.795.000,43.671,64,54,,2,2.932,1938,0, C,,,2100,0,84,2.795.000,København Ø
Ejerlejlighed,6.895.000,71.082,97,89,,3,7.104,1994, 1, C,12.597758,55.697494,2100,0,28,6.895.000,København Ø
Ejerlejlighed,12.500.000,89.285,140,126,,4,4.813,1932, 4, D,12.589585,55.695061,2100,0,90,12.500.000,København Ø
Ejerlejlighed,6.000.000,51.282,117,117,,4,4.555,1894,0, D,12.580458,55.698581,2100,0,128,6.000.000,København Ø
Ejerlejlighed,3.495.000,40.639,86,77,,3,4.055,1972,0, C,,,2100,0,50,3.495.000,København Ø
Ejerlejlighed,5.995.000,66.611,90,83,,3,4.587,1881, 2, D,12.580186,55.700722,2100,8,141,5.515.400,København Ø
Ejerlejlighed,3.095.000,53.362,58,40,,2,2.171,1909, 5, C,12.583394,55.7089,2100,7,113,2.878.350,København Ø
Ejerlejlighed,5.100.000,57.954,88,79,,3,3.903,2005, 1, C,,,2100,0,17,5.100.000,København Ø
Ejerlejlighed,6.250.000,58.962,106,98,,4,3.862,1899, 1, C,,,2100,0,123,6.250.000,København Ø
Ejerlejlighed,15.250.000,81.550,187,169,,5,7.398,1907, 2, D,,,2100,5,115,14.487.500,København Ø
Ejerlejlighed,3.395.000,59.561,57,47,,2,2.263,1903, 2, C,12.578993,55.709636,2100,0,119,3.395.000,København Ø
Ejerlejlighed,6.995.000,62.455,112,102,,3,6.521,2007, 2, B,12.593679,55.696884,2100,0,15,6.995.000,København Ø
Andelsbolig,2.035.298,0,53,,,2,,1941, 3, D,12.571131,55.715209,2100,0,81,2.035.298,København Ø
Ejerlejlighed,2.895.000,51.696,56,53,,2,3.343,1931,0, D,,,2100,0,91,2.895.000,København Ø
Villalejlighed,6.995.000,69.950,100,,,5,4.273,1924, 1, C,,,2100,0,98,6.995.000,København Ø
Ejerlejlighed,12.495.000,64.740,193,181,,7,5.412,1915, 3, C,12.58479,55.708704,2100,0,107,12.495.000,København Ø
Ejerlejlighed,13.995.000,62.477,224,207,,6,7.677,1903, 3, D,12.580491,55.702312,2100,5,119,13.295.250,København Ø
Ejerlejlighed,3.595.000,56.171,64,57,,2,2.478,1932, 2, D,,,2100,0,90,3.595.000,København Ø
Ejerlejlighed,5.795.000,66.609,87,80,,2,4.702,1900, 5, C,12.586813,55.700301,2100,0,122,5.795.000,København Ø
Ejerlejlighed,2.995.000,41.027,73,73,,3,2.740,1914, 4, E,12.582069,55.708347,2100,9,108,2.725.450,København Ø
Ejerlejlighed,3.795.000,52.708,72,67,,3,2.586,1926, 1, D,12.555136,55.705827,2100,5,96,3.605.250,København Ø
Ejerlejlighed,5.498.000,58.489,94,83,,4,3.593,2017, 3, A15,12.592938,55.699993,2100,3,5,5.333.060,København Ø
Rækkehus,14.995.000,55.537,270,,,8,8.771,1879,0, C,12.573051,55.69075,2100,0,143,14.995.000,København Ø
Ejerlejlighed,7.995.000,66.625,120,107,,4,4.560,1908, 4, C,12.583855,55.697738,2100,6,114,7.515.300,København Ø
Ejerlejlighed,8.495.000,49.678,171,171,,7,4.125,1914, 1, E,,,2100,6,108,7.985.300,København Ø
Ejerlejlighed,4.795.000,67.535,71,64,,3,2.905,1904, 4, D,12.590221,55.70402,2100,0,118,4.795.000,København Ø
Ejerlejlighed,6.495.000,66.275,98,91,,4,3.511,1909, 4, C,12.583471,55.708993,2100,0,113,6.495.000,København Ø
Ejerlejlighed,3.795.000,55.808,68,60,,3,2.446,1930, 2, C,12.56434,55.708663,2100,5,92,3.605.250,København Ø
Andelsbolig,4.295.000,0,114,,,3,,1896,0, C,12.586161,55.699011,2100,10,126,3.865.500,København Ø
Ejerlejlighed,9.500.000,73.076,130,119,,4,5.634,2007, 7, B,12.593873,55.698542,2100,0,15,9.500.000,København Ø
Ejerlejlighed,12.995.000,76.893,169,155,,6,6.202,1901, 2, D,12.5883,55.703301,2100,0,121,12.995.000,København Ø
Ejerlejlighed,26.000.000,120.370,216,211,,4,12.192,2001, 3, B,,,2100,0,21,26.000.000,København Ø
Ejerlejlighed,2.995.000,61.122,49,42,,2,3.301,1899, 2, D,12.574019,55.712028,2100,0,123,2.995.000,København Ø
Ejerlejlighed,5.750.000,63.186,91,84,,3,3.697,1905, 4, C,12.57864,55.706682,2100,0,117,5.750.000,København Ø
Ejerlejlighed,5.995.000,49.958,120,109,,3,3.045,1920, 4, D,12.570956,55.707688,2100,8,102,5.515.400,København Ø
Ejerlejlighed,11.500.000,86.466,133,119,,3,6.438,2001, 1, B,,,2100,0,21,11.500.000,København Ø
Rækkehus,16.200.000,107.284,151,,,6,5.049,1892,0, C,12.575168,55.715228,2100,0,130,16.200.000,København Ø
Ejerlejlighed,2.395.000,37.421,64,54,,2,3.781,1972, 2, C,,,2100,8,50,2.203.400,København Ø
Ejerlejlighed,6.995.000,72.113,97,88,,4,3.959,1895, 5, D,12.585894,55.697815,2100,0,127,6.995.000,København Ø
Ejerlejlighed,1.995.000,45.340,44,39,,1,2.049,1963, 1, C,,,2100,13,59,1.735.650,København Ø
Ejerlejlighed,3.450.000,65.094,53,45,,2,3.098,1892, 2, C,12.579959,55.705752,2100,0,130,3.450.000,København Ø
Ejerlejlighed,3.695.000,57.734,64,59,,2,2.706,1935, 1, D,12.588325,55.707501,2100,3,87,3.584.150,København Ø
Ejerlejlighed,5.495.000,44.674,123,112,,5,4.126,1927, 3, C,12.560252,55.712099,2100,8,95,5.055.400,København Ø
Ejerlejlighed,8.395.000,47.162,178,155,,5,6.523,1884, 5, C,,,2100,7,138,7.807.350,København Ø
Ejerlejlighed,2.595.000,52.959,49,44,,2,2.722,1965, 2, D,,,2100,0,57,2.595.000,København Ø
Ejerlejlighed,4.195.000,58.263,72,65,,3,4.547,1932, 2, D,12.566057,55.710768,2100,0,90,4.195.000,København Ø
Ejerlejlighed,2.995.000,57.596,52,44,,2,2.869,1902, 5, C,,,2100,6,120,2.815.300,København Ø
Ejerlejlighed,4.195.000,55.197,76,76,,3,3.916,1931,0, D,12.577434,55.719136,2100,7,91,3.901.350,København Ø
Ejerlejlighed,4.295.000,66.076,65,56,,2,3.021,1911, 4, C,12.583675,55.707103,2100,4,111,4.123.200,København Ø
Ejerlejlighed,4.745.000,55.823,85,76,,3,3.365,1912, 4, D,12.568214,55.7076,2100,0,110,4.745.000,København Ø
Ejerlejlighed,3.195.000,56.052,57,48,,2,2.569,1903, 3, E,,,2100,0,119,3.195.000,København Ø
Ejerlejlighed,6.795.000,53.928,126,118,,4,4.377,1912, 3, D,12.569077,55.707761,2100,3,110,6.591.150,København Ø
Ejerlejlighed,3.095.000,56.272,55,47,,2,2.702,1902,0, C,12.586863,55.703679,2100,3,120,3.002.150,København Ø
Ejerlejlighed,17.500.000,77.433,226,212,,6,6.827,1907, 1, C,12.587268,55.697484,2100,0,115,17.500.000,København Ø
Ejerlejlighed,3.795.000,70.277,54,46,,2,2.631,1900, 5, C,12.587703,55.699865,2100,5,122,3.605.250,København Ø
Ejerlejlighed,4.950.000,59.638,83,75,,3,3.954,1916, 2, C,12.584293,55.707778,2100,6,106,4.653.000,København Ø
Ejerlejlighed,8.850.000,65.073,136,125,,4,6.787,1909, 2, D,12.582479,55.697233,2100,0,113,8.850.000,København Ø
Rækkehus,14.995.000,116.240,129,,,6,5.853,1875,0, A10,12.576116,55.693081,2100,5,147,14.245.250,København Ø
Ejerlejlighed,2.595.000,40.546,64,55,,1,1.656,1972, 4, B,12.562338,55.709437,2100,0,50,2.595.000,København Ø
Ejerlejlighed,9.250.000,78.389,118,102,,2,6.382,2001, 3, B,12.595431,55.699325,2100,0,21,9.250.000,København Ø
Ejerlejlighed,5.200.000,68.421,76,68,,2,3.568,2002, 3, B,,,2100,0,20,5.200.000,København Ø
Ejerlejlighed,9.995.000,60.945,164,147,,5,5.346,1890, 1, C,12.576608,55.691662,2100,5,132,9.495.250,København Ø
Villalejlighed,18.000.000,78.602,229,,,7,5.254,1932,0, E,12.575846,55.717894,2100,10,90,16.200.000,København Ø
Ejerlejlighed,21.750.000,81.460,267,243,,7,9.076,1901,0, C,12.5885397,55.7089397,2100,0,121,21.750.000,København Ø
Ejerlejlighed,4.700.000,60.256,78,72,,3,3.253,1958, 4, C,12.581145,55.703306,2100,0,64,4.700.000,København Ø
Ejerlejlighed,3.500.000,53.030,66,58,,2,2.223,1934, 2, C,12.564737,55.709364,2100,8,88,3.220.000,København Ø
Ejerlejlighed,5.100.000,71.830,71,63,,3,2.910,1902, 3, C,12.586863,55.703679,2100,5,120,4.845.000,København Ø
Ejerlejlighed,5.750.000,59.895,96,82,,3,4.895,1994,0, C,12.597544,55.696682,2100,4,28,5.520.000,København Ø
Ejerlejlighed,6.500.000,77.380,84,79,,3,2.695,1911, 5, C,12.58523,55.707301,2100,4,111,6.240.000,København Ø
Ejerlejlighed,8.995.000,76.228,118,113,,4,6.464,1990, 5, C,,,2100,10,32,8.095.500,København Ø
Ejerlejlighed,3.795.000,55.808,68,62,,3,3.262,1938, 4, C,12.578328,55.711573,2100,5,84,3.605.250,København Ø
Villalejlighed,4.295.000,38.348,112,,,5,3.316,1935,0, E,12.554959,55.720083,2100,5,87,4.080.250,København Ø
Ejerlejlighed,4.995.000,69.375,72,65,,3,3.489,1886, 4, D,12.574604,55.696652,2100,9,136,4.545.450,København Ø
Ejerlejlighed,9.595.000,72.142,133,123,,4,3.714,1891, 1, D,12.585376,55.697065,2100,4,131,9.211.200,København Ø
Ejerlejlighed,2.995.000,50.762,59,52,,2,2.268,1906,0,,12.569815,55.7144,2100,0,116,2.995.000,København Ø
Ejerlejlighed,3.400.000,60.714,56,48,,2,4.096,1902, 2, C,,,2100,4,120,3.264.000,København Ø
Ejerlejlighed,4.995.000,57.413,87,79,,3,4.315,1999, 3, C,12.57412,55.711608,2100,7,23,4.645.350,København Ø
Ejerlejlighed,6.498.000,58.017,112,112,,4,2.670,1908,0, C,,,2100,7,114,6.043.140,København Ø
Ejerlejlighed,8.595.000,63.198,136,125,,4,2.733,1878, 2, C,,,2100,10,144,7.735.500,København Ø
Andelsbolig,2.950.000,0,111,,,4,,1988, 2, D,,,2100,9,34,2.684.500,København Ø
Ejerlejlighed,3.395.000,64.056,53,45,,2,2.737,1895, 2, C,12.579694,55.705585,2100,4,127,3.259.200,København Ø
Ejerlejlighed,5.495.000,53.872,102,88,,3,4.189,2007, 4, B,,,2100,0,15,5.495.000,København Ø
Ejerlejlighed,3.195.000,56.052,57,50,,2,2.326,1902,0, D,12.583243,55.701818,2100,9,120,2.907.450,København Ø
Ejerlejlighed,4.150.000,61.029,68,61,,3,2.321,1926, 4, D,,,2100,0,96,4.150.000,København Ø
Ejerlejlighed,6.498.000,60.166,108,101,,4,4.387,1907, 3, C,12.576808,55.714214,2100,7,115,6.043.140,København Ø
Ejerlejlighed,7.595.000,58.875,129,118,,5,5.612,1929,0, D,12.577936,55.717197,2100,5,93,7.215.250,København Ø
Ejerlejlighed,2.995.000,66.555,45,37,,2,1.967,1899, 2, D,12.587671,55.706214,2100,8,123,2.755.400,København Ø
Ejerlejlighed,5.800.000,56.862,102,91,,4,4.148,1931, 4, C,12.590277,55.70042,2100,12,91,5.104.000,København Ø
Ejerlejlighed,15.995.000,77.270,207,191,,6,7.609,1898, 2, C,12.5802,55.69226,2100,6,124,15.035.300,København Ø
Ejerlejlighed,2.995.000,63.723,47,39,,2,1.591,1885, 3, D,12.576355,55.697501,2100,8,137,2.755.400,København Ø
Ejerlejlighed,7.995.000,65.000,123,114,,4,6.298,1904, 3, D,12.578927,55.703351,2100,11,118,7.115.550,København Ø
Ejerlejlighed,6.649.000,66.490,100,92,,4,3.884,1899, 2, C,12.581465,55.698081,2100,5,123,6.316.550,København Ø
Ejerlejlighed,3.250.000,60.185,54,45,,2,2.338,1895, 2, C,12.579533,55.705568,2100,7,127,3.022.500,København Ø
Ejerlejlighed,3.995.000,48.719,82,73,,2,4.208,1978, 3, D,,,2100,0,44,3.995.000,København Ø
Rækkehus,11.495.000,68.422,168,,,6,5.042,1916,0, D,,,2100,4,106,11.035.200,København Ø
Ejerlejlighed,5.295.000,51.407,103,95,,4,2.924,1915,0, C,12.584536,55.708102,2100,4,107,5.083.200,København Ø
Ejerlejlighed,3.450.000,61.607,56,47,,2,3.576,1895,0, C,12.579846,55.705599,2100,4,127,3.312.000,København Ø
Ejerlejlighed,5.495.000,64.647,85,78,,3,3.494,1915, 2, C,12.584407,55.708474,2100,4,107,5.275.200,København Ø
Ejerlejlighed,4.500.000,48.387,93,86,,3,3.822,1935, 3, D,12.56136,55.712509,2100,5,87,4.275.000,København Ø
Ejerlejlighed,5.725.000,59.635,96,84,,3,3.619,2017, 2, A15,,,2100,1,5,5.667.750,København Ø
Ejerlejlighed,3.250.000,44.520,73,64,,3,3.352,1893,0, D,12.580013,55.705617,2100,7,129,3.022.500,København Ø
Ejerlejlighed,7.495.000,64.612,116,104,,4,4.127,1877,0, C,12.583745,55.693387,2100,0,145,7.495.000,København Ø
Rækkehus,11.895.000,90.113,132,,,6,4.804,1879,0, B,12.572606,55.690933,2100,0,143,11.895.000,København Ø
Ejerlejlighed,4.545.000,46.855,97,91,,3,4.994,1943, 2, A10,12.57674,55.718622,2100,9,79,4.135.950,København Ø
Ejerlejlighed,5.295.000,61.569,86,86,,3,2.279,1914, 2, C,,,2100,9,108,4.818.450,København Ø
Andelsbolig,3.095.000,0,110,,710,3,,1904,0, C,12.5732269,55.7131882,2100,13,118,2.692.650,København Ø
Ejerlejlighed,4.495.000,51.666,87,80,,3,4.044,1938, 1, C,12.578299,55.712347,2100,0,84,4.495.000,København Ø
Ejerlejlighed,5.950.000,58.910,101,91,,3,5.881,2007, 5, B,12.593679,55.696884,2100,0,15,5.950.000,København Ø
Ejerlejlighed,14.495.000,92.324,157,140,,4,5.363,1997, 4, C,,,2100,3,25,14.060.150,København Ø
Ejerlejlighed,2.645.000,46.403,57,51,,2,2.633,1935,0, D,,,2100,5,87,2.512.750,København Ø
Ejerlejlighed,3.295.000,46.408,71,62,,2,3.592,1978, 1, D,,,2100,3,44,3.196.150,København Ø
Ejerlejlighed,5.495.000,54.950,100,89,,3,4.110,1931,0, C,,,2100,4,91,5.275.200,København Ø
Ejerlejlighed,7.500.000,75.000,100,128,,2,5.047,1863, 1, D,12.58761,55.701534,2100,2,159,7.350.000,København Ø
Ejerlejlighed,13.495.000,78.459,172,162,,5,8.470,2007, 4, B,12.593549,55.697313,2100,0,15,13.495.000,København Ø
Ejerlejlighed,2.995.000,58.725,51,43,,2,2.297,1903, 3, C,12.580056,55.709636,2100,6,119,2.815.300,København Ø
Villalejlighed,5.298.000,81.507,65,,,3,1.822,1921,0, D,,,2100,4,101,5.086.080,København Ø
Ejerlejlighed,3.895.000,57.279,68,58,,3,3.483,1988, 2, C,,,2100,9,34,3.544.450,København Ø
Rækkehus,13.495.000,89.370,151,,,5,4.536,1892,0, D,,,2100,4,130,12.955.200,København Ø
Ejerlejlighed,2.445.000,55.568,44,39,,1,2.375,1963, 5, C,,,2100,0,59,2.445.000,København Ø
Ejerlejlighed,4.995.000,60.914,82,85,,2,3.263,1930, 5, C,12.564485,55.70854,2100,7,92,4.645.350,København Ø
Ejerlejlighed,7.250.000,61.440,118,111,,5,3.594,1904, 1, D,12.579984,55.708993,2100,0,118,7.250.000,København Ø
Ejerlejlighed,2.795.000,48.189,58,50,,2,2.030,1900,0, C,12.586778,55.700232,2100,20,122,2.236.000,København Ø
Ejerlejlighed,3.695.000,57.734,64,59,,3,3.535,1974, 4, C,,,2100,8,48,3.399.400,København Ø
Ejerlejlighed,4.350.000,66.923,65,57,,2,2.229,1917, 3, C,12.584015,55.707055,2100,3,105,4.219.500,København Ø
Ejerlejlighed,5.195.000,55.860,93,87,,3,5.533,1938,0, D,12.586741,55.701342,2100,10,84,4.675.500,København Ø
Ejerlejlighed,6.250.000,73.529,85,77,,3,5.918,1994, 5, C,12.597758,55.697494,2100,11,28,5.562.500,København Ø
Ejerlejlighed,7.400.000,70.476,105,93,,3,6.042,1999, 2, C,12.596486,55.695503,2100,0,23,7.400.000,København Ø
Ejerlejlighed,8.500.000,96.590,88,80,,3,4.917,1990, 6, C,,,2100,6,32,7.990.000,København Ø
Ejerlejlighed,2.895.000,51.696,56,48,,2,1.818,1913,0, C,,,2100,6,109,2.721.300,København Ø
Ejerlejlighed,3.295.000,56.810,58,53,,2,2.150,1930, 4, C,12.566066,55.709855,2100,6,92,3.097.300,København Ø
Ejerlejlighed,3.995.000,46.453,86,77,,3,3.155,1972, 3, C,,,2100,6,50,3.755.300,København Ø
Ejerlejlighed,14.000.000,63.348,221,197,,7,7.673,1907,0, E,12.588922,55.695049,2100,13,115,12.180.000,København Ø
Ejerlejlighed,3.250.000,50.000,65,56,,2,3.016,1972,0, C,,,2100,0,50,3.250.000,København Ø
Ejerlejlighed,4.750.000,56.547,84,76,,3,3.245,1926, 4, D,12.568823,55.712628,2100,5,96,4.512.500,København Ø
Ejerlejlighed,4.995.000,56.761,88,83,,3,5.427,1965, 5, D,,,2100,11,57,4.445.550,København Ø
Ejerlejlighed,10.500.000,66.455,158,140,,5,6.241,2007, 5, B,12.593809,55.69931,2100,0,15,10.500.000,København Ø
Villa,10.998.000,67.888,162,,86,6,5.302,1915,0, C,,,2100,0,107,10.998.000,København Ø
Ejerlejlighed,2.795.000,47.372,59,47,,2,2.615,1974, 1, C,,,2100,7,48,2.599.350,København Ø
Ejerlejlighed,2.995.000,49.916,60,52,,2,1.741,1906, 1, D,12.588717,55.708498,2100,14,116,2.575.700,København Ø
Ejerlejlighed,3.150.000,56.250,56,47,,2,3.102,1900, 2, C,12.586556,55.700203,2100,9,122,2.866.500,København Ø
Ejerlejlighed,3.995.000,62.421,64,59,,3,3.567,1974, 5, C,,,2100,3,48,3.875.150,København Ø
Ejerlejlighed,9.495.000,83.289,114,100,,3,5.639,2007, 10, B,12.593983,55.696877,2100,0,15,9.495.000,København Ø
Ejerlejlighed,9.700.000,57.738,168,152,,5,5.273,1891,0, C,,,2100,4,131,9.312.000,København Ø
Ejerlejlighed,2.485.000,40.737,61,61,,2,2.131,1913,0, D,12.582103,55.706932,2100,8,109,2.286.200,København Ø
Ejerlejlighed,2.795.000,63.522,44,37,,2,2.394,1885, 4, D,12.581525,55.705353,2100,0,137,2.795.000,København Ø
Ejerlejlighed,3.995.000,75.377,53,44,,2,2.539,1895, 2, C,12.579846,55.705599,2100,5,127,3.795.250,København Ø
Ejerlejlighed,5.500.000,83.333,66,60,,3,3.665,1899, 5, D,12.587776,55.706178,2100,8,123,5.060.000,København Ø
Ejerlejlighed,5.995.000,59.950,100,93,,4,3.643,1904, 2, D,12.581115,55.708659,2100,5,118,5.695.250,København Ø
Ejerlejlighed,8.650.000,61.785,140,123,,4,5.271,2017, 6, A15,12.593345,55.700049,2100,3,5,8.390.500,København Ø
Ejerlejlighed,2.795.000,62.111,45,37,,1,2.492,1905,0,,12.579088,55.70662,2100,0,117,2.795.000,København Ø
Ejerlejlighed,4.150.000,57.638,72,65,,3,2.847,1926, 1, D,,,2100,2,96,4.067.000,København Ø
Ejerlejlighed,6.295.000,56.711,111,101,,3,4.651,2006, 1, B,,,2100,6,16,5.917.300,København Ø
Rækkehus,16.495.000,118.669,139,,,5,6.089,1882,0, C,12.575056,55.691266,2100,0,140,16.495.000,København Ø
Ejerlejlighed,2.375.000,52.777,45,41,,1,2.119,1970, 4, C,12.568421,55.711726,2100,5,52,2.256.250,København Ø
Ejerlejlighed,3.398.000,56.633,60,52,,2,2.623,1909, 1, C,12.583695,55.708988,2100,8,113,3.126.160,København Ø
Ejerlejlighed,10.795.000,57.420,188,175,,8,6.012,1884, 5, C,12.582694,55.698803,2100,12,138,9.499.600,København Ø
Ejerlejlighed,5.998.000,53.079,113,103,,3,6.575,2007, 1, B,12.593586,55.697177,2100,0,15,5.998.000,København Ø
Ejerlejlighed,8.249.000,67.065,123,114,,4,4.784,1894, 2, D,12.586256,55.697414,2100,6,128,7.754.060,København Ø
Ejerlejlighed,2.295.000,36.428,63,54,,2,2.690,1972, 6, C,,,2100,23,50,1.767.150,København Ø
Ejerlejlighed,4.495.000,36.544,123,165,,4,5.634,1927,0, C,,,2100,17,95,3.730.850,København Ø
Ejerlejlighed,6.995.000,59.279,118,105,,3,4.981,1890, 1, D,,,2100,4,132,6.715.200,København Ø
Ejerlejlighed,2.695.000,49.000,55,47,,2,2.431,1963, 4, D,,,2100,14,59,2.317.700,København Ø
Ejerlejlighed,4.495.000,51.666,87,77,,3,4.015,1972, 9, C,,,2100,10,50,4.045.500,København Ø
Ejerlejlighed,5.250.000,61.046,86,76,,4,3.807,1935, 2, D,12.576576,55.719091,2100,0,87,5.250.000,København Ø
Ejerlejlighed,2.690.000,48.909,55,48,,2,2.464,1902,0, C,12.588809,55.703877,2100,7,120,2.501.700,København Ø
Ejerlejlighed,6.645.000,65.147,102,95,,4,4.285,1907, 1, C,12.576808,55.714214,2100,8,115,6.113.400,København Ø
Ejerlejlighed,3.995.000,60.530,66,58,,2,2.352,1916, 1, C,12.583721,55.707704,2100,5,106,3.795.250,København Ø
Ejerlejlighed,2.445.000,45.277,54,47,,2,2.491,1903,0, D,12.571247,55.714101,2100,6,119,2.298.300,København Ø
Ejerlejlighed,3.595.000,67.830,53,44,,2,3.340,1895, 4, C,12.579846,55.705599,2100,5,127,3.415.250,København Ø
Ejerlejlighed,12.900.000,72.067,179,163,,6,5.452,1890, 3, C,12.576457,55.691493,2100,13,132,11.223.000,København Ø
Ejerlejlighed,16.950.000,113.758,149,137,,2,6.128,2006, 6, B,,,2100,14,16,14.577.000,København Ø
Ejerlejlighed,2.995.000,53.482,56,47,,2,3.474,1978, 4, D,,,2100,6,44,2.815.300,København Ø
Ejerlejlighed,1.995.000,47.500,42,37,,1,2.299,1974, 6, C,,,2100,9,48,1.815.450,København Ø
Ejerlejlighed,6.099.000,62.234,98,93,,3,3.343,1885, 2, C,12.574549,55.711857,2100,4,137,5.855.040,København Ø
Ejerlejlighed,3.250.000,55.084,59,45,,2,2.287,1979, 5, D,,,2100,7,43,3.022.500,København Ø
Ejerlejlighed,11.875.000,97.336,122,120,,4,2.780,1900, 1, B,,,2100,5,122,11.281.250,København Ø
Ejerlejlighed,6.250.000,57.339,109,137,,4,5.531,1931,0, C,12.590841,55.698676,2100,14,91,5.375.000,København Ø
Ejerlejlighed,4.795.000,57.083,84,73,,2,3.266,2006, 3, B,,,2100,0,16,4.795.000,København Ø
Ejerlejlighed,4.795.000,64.797,74,67,,3,3.215,1901, 1, D,12.587321,55.706129,2100,0,121,4.795.000,København Ø
Ejerlejlighed,3.895.000,54.859,71,66,,3,4.212,1974, 4, C,,,2100,5,48,3.700.250,København Ø
Ejerlejlighed,5.495.000,59.728,92,80,,3,2.219,1881,0, C,12.578692,55.694588,2100,0,141,5.495.000,København Ø
Ejerlejlighed,2.295.000,45.000,51,46,,2,2.503,1935,0, D,12.588108,55.70799,2100,16,87,1.927.800,København Ø
Ejerlejlighed,3.150.000,58.333,54,46,,2,2.627,1905, 5, D,,,2100,14,117,2.709.000,København Ø
Ejerlejlighed,3.295.000,58.839,56,51,,2,2.719,1934, 2, C,12.56515,55.709408,2100,3,88,3.196.150,København Ø
Ejerlejlighed,4.590.000,58.101,79,71,,3,3.225,1932,0, D,12.583746,55.705767,2100,8,90,4.222.800,København Ø
Ejerlejlighed,3.295.000,49.924,66,56,,2,2.831,1938, 4, C,12.578008,55.711579,2100,6,84,3.097.300,København Ø
Ejerlejlighed,4.095.000,59.347,69,61,,2,2.629,1916, 2, C,12.584262,55.707639,2100,7,106,3.808.350,København Ø
Ejerlejlighed,4.500.000,57.692,78,64,,2,3.081,2007, 3, B,,,2100,0,15,4.500.000,København Ø
Ejerlejlighed,6.695.000,60.315,111,102,,3,4.681,2006, 2, B,,,2100,8,16,6.159.400,København Ø
Ejerlejlighed,15.995.000,63.472,252,236,,7,9.491,1907,0, E,12.588744,55.694918,2100,14,115,13.755.700,København Ø
Ejerlejlighed,2.495.000,43.771,57,52,,2,2.565,1935, 1, D,12.561058,55.712504,2100,14,87,2.145.700,København Ø
